TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
21,CUST5574,ACC39500,Savings,Payment,Home Loan,Firm D,West,Manager 3,23-03-2024,21953.55323,81740.79436,0.290234557,736,186
169,CUST5705,ACC42710,Current,Withdrawal,Personal Loan,Firm D,North,Manager 1,12-05-2023,101996.5666,83829.28291,0.185979896,833,169
185,CUST5705,ACC92360,Credit,Payment,Savings Account,Firm C,East,Manager 3,06-09-2023,14658.77585,114622.9447,0.231350962,395,157
120,CUST5385,ACC82947,Current,Withdrawal,Personal Loan,Firm C,North,Manager 4,23-10-2023,76459.28982,2352.226574,0.71651691,605,86
96,CUST7098,ACC87006,Current,Transfer,Savings Account,Firm C,East,Manager 2,23-04-2023,101899.7693,71456.46721,0.367599574,691,225
183,CUST9666,ACC94203,Credit,Withdrawal,Savings Account,Firm B,North,Manager 3,22-03-2024,8722.390354,98326.71791,0.480479552,380,102
176,CUST5610,ACC25811,Loan,Payment,Mutual Fund,Firm B,South,Manager 2,06-02-2024,33936.64367,79341.4972,0.620229529,589,41
153,CUST5664,ACC34821,Current,Deposit,Savings Account,Firm C,East,Manager 2,08-11-2023,79014.17173,67769.48711,0.285244245,317,56
194,CUST5253,ACC83581,Current,Payment,Home Loan,Firm B,South,Manager 2,05-02-2023,6249.29327,33942.91203,0.291433385,453,185
195,CUST3762,ACC50817,Credit,Payment,Credit Card,Firm E,Central,Manager 2,10-02-2023,81826.41138,103554.2218,0.471719202,748,129
36,CUST8288,ACC26973,Current,Payment,Home Loan,Firm A,West,Manager 1,25-11-2023,70446.65201,34532.12887,0.883050441,827,190
79,CUST4794,ACC81631,Credit,Withdrawal,Mutual Fund,Firm D,East,Manager 4,06-06-2023,47378.52917,110382.8737,0.473973073,569,36
12,CUST8416,ACC96868,Current,Payment,Credit Card,Firm B,East,Manager 4,30-09-2023,35807.51939,49565.93429,0.708092451,379,32
155,CUST1887,ACC82926,Savings,Deposit,Home Loan,Firm E,South,Manager 4,21-02-2024,57720.21022,108527.5279,0.624343744,759,20
4,CUST9564,ACC78089,Current,Transfer,Personal Loan,Firm B,North,Manager 3,07-06-2024,100617.6866,84379.44201,0.221020148,363,90
170,CUST1547,ACC99117,Loan,Transfer,Savings Account,Firm A,East,Manager 2,26-09-2023,79347.84038,42838.5525,0.455019639,636,130
78,CUST5500,ACC91220,Current,Deposit,Savings Account,Firm D,Central,Manager 3,21-05-2023,7851.570673,38023.60663,0.87101039,360,93
192,CUST3069,ACC45968,Current,Payment,Savings Account,Firm C,North,Manager 3,17-08-2023,90993.54691,129138.0076,0.687679251,485,239
4,CUST3015,ACC31539,Credit,Deposit,Mutual Fund,Firm E,West,Manager 2,08-02-2024,40471.41875,103294.0241,0.088499639,389,222
159,CUST6947,ACC70460,Savings,Payment,Home Loan,Firm D,South,Manager 2,10-03-2023,49871.07117,28682.66088,0.641071271,512,43
86,CUST6525,ACC49422,Current,Withdrawal,Home Loan,Firm C,West,Manager 1,28-05-2024,61520.03403,81120.81773,0.809076519,321,36
145,CUST6937,ACC22255,Loan,Deposit,Savings Account,Firm E,Central,Manager 3,22-03-2024,58651.91779,72225.35527,0.745542196,421,163
92,CUST8390,ACC26940,Current,Withdrawal,Savings Account,Firm C,East,Manager 2,24-10-2023,70038.9242,59189.00773,0.671116153,691,19
66,CUST4438,ACC58078,Savings,Deposit,Savings Account,Firm C,West,Manager 3,11-05-2023,26948.93519,55419.23593,0.508923997,718,129
26,CUST4373,ACC49180,Current,Withdrawal,Credit Card,Firm D,Central,Manager 3,04-01-2024,39262.80383,123783.4018,0.549458117,666,209
4,CUST2427,ACC21429,Credit,Deposit,Home Loan,Firm B,West,Manager 1,17-12-2023,93638.49606,82295.25384,0.789602278,818,192
69,CUST4241,ACC32627,Loan,Transfer,Home Loan,Firm A,East,Manager 3,08-01-2024,70390.8241,118785.0375,0.366922585,520,97
112,CUST8091,ACC10117,Loan,Deposit,Personal Loan,Firm A,West,Manager 2,06-04-2024,54168.90233,97023.17014,0.720880342,400,148
107,CUST2067,ACC70460,Loan,Payment,Home Loan,Firm A,North,Manager 2,10-02-2023,67279.95877,3690.78225,0.24129724,573,53
142,CUST9666,ACC45968,Loan,Payment,Savings Account,Firm D,Central,Manager 1,25-11-2023,103256.1324,20294.06891,0.588772015,638,13
133,CUST6330,ACC19178,Credit,Transfer,Mutual Fund,Firm C,East,Manager 3,12-01-2023,19816.70664,44468.83196,0.631558602,790,43
27,CUST7098,ACC70314,Current,Payment,Home Loan,Firm D,West,Manager 2,21-01-2023,37608.99538,30778.04921,0.294866217,438,92
73,CUST2626,ACC91723,Savings,Withdrawal,Mutual Fund,Firm B,West,Manager 2,19-07-2023,93269.65249,46873.9286,0.78301922,426,92
101,CUST7887,ACC32890,Credit,Withdrawal,Savings Account,Firm D,West,Manager 3,17-06-2023,65926.1957,11542.64021,0.564132071,398,91
6,CUST2427,ACC80131,Current,Deposit,Mutual Fund,Firm C,South,Manager 1,19-11-2023,141600.74,58800.35045,0.130982112,313,168
117,CUST6776,ACC66190,Savings,Withdrawal,Home Loan,Firm A,South,Manager 4,15-04-2024,76141.66909,65509.47083,0.44729998,608,90
120,CUST6937,ACC24508,Current,Withdrawal,Mutual Fund,Firm A,South,Manager 1,16-10-2023,27656.63933,109317.4965,0.138056965,557,7
40,CUST4780,ACC66086,Savings,Deposit,Home Loan,Firm A,South,Manager 3,16-04-2024,74148.15841,7645.637928,0.287057885,403,98
81,CUST8318,ACC32627,Loan,Withdrawal,Mutual Fund,Firm E,Central,Manager 2,10-03-2023,63341.69129,69585.83304,0.331229755,753,55
100,CUST8028,ACC19156,Savings,Withdrawal,Savings Account,Firm C,East,Manager 3,06-10-2023,25848.83111,100913.7795,0.355991055,488,145
29,CUST4360,ACC64785,Credit,Payment,Savings Account,Firm E,North,Manager 3,04-05-2024,46055.54632,64525.96105,-0.014427166,637,59
30,CUST5894,ACC71938,Savings,Deposit,Credit Card,Firm C,East,Manager 2,29-11-2023,118129.969,44065.24955,0.525617763,689,117
181,CUST8461,ACC64022,Current,Withdrawal,Savings Account,Firm C,Central,Manager 2,27-05-2024,49842.01448,89498.33985,0.225772251,350,169
74,CUST1888,ACC76549,Savings,Deposit,Savings Account,Firm A,East,Manager 4,26-07-2023,47761.52447,32863.90428,0.437622743,310,57
52,CUST9248,ACC69323,Current,Payment,Personal Loan,Firm B,North,Manager 2,22-08-2023,65974.35892,51552.66567,0.256656401,467,118
64,CUST9038,ACC10996,Savings,Withdrawal,Personal Loan,Firm C,West,Manager 1,01-01-2024,70136.96717,25464.12779,0.579621582,797,217
10,CUST7173,ACC61926,Credit,Deposit,Mutual Fund,Firm D,West,Manager 4,15-05-2024,4468.028806,77515.75201,0.705600394,709,141
171,CUST7388,ACC66086,Savings,Deposit,Credit Card,Firm E,Central,Manager 2,06-09-2023,33841.57544,64353.05275,0.277949943,689,161
70,CUST1497,ACC29646,Loan,Payment,Mutual Fund,Firm E,South,Manager 2,20-06-2023,79276.49325,118891.878,0.188975881,472,136
80,CUST1042,ACC66190,Credit,Transfer,Home Loan,Firm C,East,Manager 1,06-06-2023,59642.06517,111660.679,0.054470587,414,171
136,CUST7395,ACC83005,Credit,Deposit,Mutual Fund,Firm A,West,Manager 2,10-02-2023,22436.85841,55667.10106,0.66580522,360,130
29,CUST6029,ACC42710,Current,Withdrawal,Home Loan,Firm B,North,Manager 3,05-02-2024,70017.44073,78539.1186,0.26157133,554,76
83,CUST2612,ACC30146,Savings,Payment,Personal Loan,Firm C,East,Manager 4,28-01-2023,-21678.50476,62387.54223,0.089526676,354,67
191,CUST5121,ACC21878,Savings,Deposit,Personal Loan,Firm D,South,Manager 1,12-03-2024,17833.57783,155614.303,0.426569718,823,103
75,CUST5253,ACC70741,Credit,Transfer,Savings Account,Firm A,West,Manager 2,13-01-2023,21624.65568,56717.08144,0.778556352,691,233
89,CUST8529,ACC54589,Savings,Withdrawal,Mutual Fund,Firm E,Central,Manager 2,17-11-2023,97344.79648,119107.037,1.003893346,375,173
130,CUST9038,ACC22799,Credit,Transfer,Home Loan,Firm C,East,Manager 2,29-01-2024,86565.87023,68587.62512,0.179703134,568,171
9,CUST2427,ACC31902,Loan,Transfer,Savings Account,Firm B,West,Manager 2,04-05-2024,80875.76292,96948.99843,0.442550791,733,91
105,CUST2805,ACC64022,Loan,Withdrawal,Home Loan,Firm D,West,Manager 2,08-06-2024,55179.41138,57241.49987,0.658768827,365,233
39,CUST1376,ACC22255,Loan,Payment,Mutual Fund,Firm B,East,Manager 2,06-07-2023,11598.69515,68896.13827,0.169169322,420,186
71,CUST4373,ACC75767,Credit,Transfer,Credit Card,Firm D,South,Manager 4,21-01-2023,26391.43766,47262.99779,0.47813876,533,38
172,CUST8250,ACC90887,Current,Withdrawal,Home Loan,Firm D,East,Manager 3,01-01-2024,-8402.732201,56723.99805,0.396430614,702,171
153,CUST6776,ACC64022,Loan,Deposit,Savings Account,Firm E,South,Manager 1,07-03-2023,73392.91641,52018.17008,0.432880138,562,59
66,CUST9731,ACC28305,Credit,Withdrawal,Home Loan,Firm B,North,Manager 1,10-06-2023,74841.32265,117777.011,0.365468423,578,226
74,CUST8416,ACC25132,Credit,Payment,Credit Card,Firm A,Central,Manager 4,24-05-2024,78848.97944,62869.22346,0.607814364,847,45
167,CUST1887,ACC21429,Current,Withdrawal,Home Loan,Firm A,East,Manager 4,08-03-2023,75968.24859,70341.6274,0.745114564,688,21
188,CUST4780,ACC96868,Credit,Transfer,Personal Loan,Firm C,Central,Manager 1,17-04-2023,86397.67391,50014.90819,0.373981775,661,103
57,CUST5253,ACC49422,Loan,Deposit,Credit Card,Firm B,West,Manager 3,04-01-2024,47520.21587,75586.14751,0.139673514,425,27
53,CUST9038,ACC64022,Savings,Deposit,Home Loan,Firm A,West,Manager 1,01-01-2024,76778.54492,111888.5617,0.827875337,801,182
83,CUST6565,ACC34119,Loan,Payment,Savings Account,Firm B,South,Manager 4,22-08-2023,103852.8159,121430.1275,0.525401959,546,35
188,CUST2018,ACC49364,Loan,Withdrawal,Credit Card,Firm A,West,Manager 1,19-10-2023,33961.28027,122864.4448,0.397200636,726,71
73,CUST7120,ACC23736,Credit,Withdrawal,Mutual Fund,Firm D,West,Manager 1,13-01-2023,34601.56407,87504.71011,0.654571492,674,67
89,CUST8416,ACC75767,Credit,Transfer,Savings Account,Firm E,West,Manager 4,12-05-2023,79920.76373,43231.14012,0.301471947,820,23
17,CUST4360,ACC87006,Savings,Transfer,Mutual Fund,Firm B,Central,Manager 4,03-04-2023,94439.55672,97622.00924,0.384558928,671,174
59,CUST3006,ACC99117,Savings,Withdrawal,Mutual Fund,Firm D,Central,Manager 1,18-08-2023,25157.06696,61001.12467,0.43546146,655,64
165,CUST8279,ACC21264,Credit,Withdrawal,Personal Loan,Firm D,South,Manager 1,14-02-2023,81999.94967,-8247.315181,0.531051394,624,239
82,CUST1376,ACC80442,Current,Deposit,Credit Card,Firm D,Central,Manager 3,28-01-2023,93141.49365,80580.22673,0.140954357,739,195
2,CUST6525,ACC92558,Credit,Payment,Personal Loan,Firm E,South,Manager 1,23-03-2024,43787.15815,33199.98936,0.316435472,747,85
88,CUST7388,ACC45521,Credit,Payment,Savings Account,Firm D,Central,Manager 2,04-08-2023,12978.87791,100840.3875,0.583059074,664,236
64,CUST5920,ACC57700,Loan,Transfer,Home Loan,Firm C,West,Manager 3,06-02-2024,56229.26284,53437.20401,1.145058221,345,148
97,CUST8765,ACC45968,Current,Payment,Home Loan,Firm A,Central,Manager 1,09-04-2023,40573.14909,120079.3944,0.698919708,773,170
54,CUST5920,ACC21719,Current,Transfer,Home Loan,Firm B,North,Manager 4,06-04-2024,44673.92448,66368.47801,0.742451062,400,90
38,CUST4884,ACC36079,Current,Transfer,Personal Loan,Firm E,Central,Manager 4,28-01-2023,66589.99004,64049.93166,0.514525478,345,158
40,CUST8461,ACC19178,Savings,Payment,Personal Loan,Firm A,South,Manager 3,20-01-2024,47516.31292,34298.83155,0.533093222,385,93
191,CUST5385,ACC28295,Savings,Transfer,Savings Account,Firm A,North,Manager 4,18-11-2023,28380.5383,60332.20653,0.685275957,635,62
30,CUST9216,ACC21719,Loan,Transfer,Mutual Fund,Firm D,South,Manager 4,01-01-2024,37096.37418,35903.38518,0.576429178,774,42
29,CUST8266,ACC82381,Loan,Deposit,Savings Account,Firm B,Central,Manager 4,28-05-2024,73484.39024,116398.6519,0.383960274,690,108
190,CUST9962,ACC83848,Loan,Transfer,Credit Card,Firm A,North,Manager 2,01-06-2023,76744.38576,46067.4666,0.156562819,674,110
51,CUST8318,ACC48303,Credit,Transfer,Personal Loan,Firm B,South,Manager 3,13-02-2024,38769.27247,46465.83148,0.350336268,442,49
42,CUST2694,ACC99409,Loan,Payment,Personal Loan,Firm D,East,Manager 4,17-01-2023,62847.6435,70688.0015,0.599629676,820,215
104,CUST2443,ACC38559,Savings,Transfer,Credit Card,Firm B,East,Manager 2,22-10-2023,36023.22769,78983.82647,0.356801639,446,120
134,CUST1776,ACC57516,Savings,Payment,Personal Loan,Firm A,South,Manager 2,05-05-2023,36366.8173,64435.53764,0.659672103,726,77
19,CUST6391,ACC20297,Credit,Withdrawal,Credit Card,Firm A,Central,Manager 3,16-08-2023,79153.43127,117545.2339,0.638632434,831,8
159,CUST8091,ACC75675,Credit,Transfer,Savings Account,Firm D,East,Manager 4,30-09-2023,63337.41389,60667.29893,0.762349531,320,94
136,CUST9439,ACC55729,Current,Withdrawal,Home Loan,Firm D,Central,Manager 3,22-05-2024,52368.93797,38046.7187,0.461496467,673,32
69,CUST5920,ACC42710,Credit,Deposit,Savings Account,Firm E,Central,Manager 1,05-05-2023,96910.51769,56068.26931,0.132183929,589,148
141,CUST3059,ACC28154,Credit,Withdrawal,Personal Loan,Firm A,North,Manager 4,29-05-2023,-2920.562029,95667.60652,0.179798778,592,222
153,CUST6526,ACC58078,Credit,Withdrawal,Mutual Fund,Firm A,Central,Manager 2,20-01-2024,21365.5765,82729.66062,0.545862142,654,45
84,CUST7173,ACC77773,Credit,Withdrawal,Home Loan,Firm E,Central,Manager 4,23-08-2023,67776.62629,58876.57941,0.664630995,435,56
69,CUST7120,ACC75675,Credit,Transfer,Home Loan,Firm E,Central,Manager 4,25-12-2023,52195.04459,79851.49501,0.567003376,824,164
86,CUST7345,ACC25132,Savings,Withdrawal,Mutual Fund,Firm E,Central,Manager 1,05-02-2024,58449.81576,40129.15375,0.639705165,487,233
97,CUST1747,ACC61926,Loan,Withdrawal,Home Loan,Firm A,North,Manager 4,17-01-2023,68107.91096,60256.10314,-0.07895333,746,231
77,CUST8155,ACC23985,Current,Payment,Credit Card,Firm A,Central,Manager 4,12-01-2023,13374.61427,60960.86696,0.346603787,397,90
94,CUST9843,ACC29396,Savings,Payment,Mutual Fund,Firm D,North,Manager 2,10-02-2023,74443.7191,91737.70917,0.559169507,392,27
62,CUST6837,ACC16241,Loan,Payment,Mutual Fund,Firm E,East,Manager 1,08-01-2023,48633.263,15180.43251,0.33218193,456,164
7,CUST2357,ACC87602,Loan,Payment,Mutual Fund,Firm E,South,Manager 4,30-01-2023,42192.04746,90417.39474,0.337734717,562,22
96,CUST2067,ACC75767,Savings,Payment,Credit Card,Firm D,West,Manager 3,22-08-2023,51819.39991,85028.9469,0.281526616,375,188
180,CUST2842,ACC49180,Current,Withdrawal,Home Loan,Firm C,North,Manager 3,01-04-2024,109356.839,45153.93637,0.560204978,388,162
116,CUST9216,ACC71388,Savings,Withdrawal,Home Loan,Firm A,South,Manager 4,27-05-2024,122857.8311,71249.53038,0.584712916,436,177
106,CUST9525,ACC24070,Current,Payment,Mutual Fund,Firm E,North,Manager 3,16-08-2023,55377.41431,15397.22761,0.88794367,513,152
62,CUST4373,ACC77533,Loan,Transfer,Savings Account,Firm A,South,Manager 3,07-11-2023,42352.59018,125064.6047,0.839804077,678,113
184,CUST7345,ACC82926,Credit,Transfer,Credit Card,Firm A,West,Manager 1,17-06-2023,67858.60151,120825.8369,0.196079395,835,23
55,CUST9420,ACC77773,Current,Transfer,Mutual Fund,Firm D,Central,Manager 3,23-08-2023,109616.6373,15721.0373,0.5068339,671,71
20,CUST4595,ACC71938,Savings,Withdrawal,Savings Account,Firm D,South,Manager 1,19-10-2023,17919.56015,69512.24467,0.549873797,786,192
159,CUST4684,ACC40939,Credit,Deposit,Mutual Fund,Firm B,Central,Manager 1,07-03-2023,44764.3932,39715.03278,0.72913292,613,134
47,CUST8318,ACC13357,Loan,Transfer,Savings Account,Firm B,East,Manager 2,26-04-2023,107480.8425,84277.08547,0.202534086,434,63
127,CUST6029,ACC13357,Current,Transfer,Savings Account,Firm A,North,Manager 2,26-09-2023,80816.28559,69721.56267,0.70142634,836,121
131,CUST6526,ACC77638,Current,Payment,Personal Loan,Firm A,West,Manager 4,17-02-2023,20084.21306,34890.8388,0.682835312,567,20
132,CUST9535,ACC22255,Loan,Withdrawal,Mutual Fund,Firm C,East,Manager 4,25-04-2024,31352.94157,113017.0231,0.123655993,762,118
122,CUST3609,ACC99549,Loan,Transfer,Credit Card,Firm B,South,Manager 1,13-09-2023,58574.85031,29030.70568,0.734198145,481,97
194,CUST2427,ACC46953,Savings,Payment,Home Loan,Firm C,Central,Manager 1,17-04-2023,31122.64182,90225.67067,0.304475632,309,74
192,CUST9962,ACC42710,Loan,Withdrawal,Mutual Fund,Firm C,East,Manager 2,14-04-2023,53768.55261,111318.7314,0.501381642,519,52
60,CUST3153,ACC82298,Current,Deposit,Credit Card,Firm B,West,Manager 1,10-06-2023,83687.73908,59861.76465,0.645703854,628,185
63,CUST4780,ACC34431,Savings,Payment,Credit Card,Firm B,West,Manager 4,10-06-2023,29402.805,105978.6221,0.256959113,817,220
27,CUST8772,ACC55331,Current,Withdrawal,Savings Account,Firm E,East,Manager 4,30-01-2023,26460.05243,9485.572331,0.179284368,493,177
29,CUST8288,ACC31539,Savings,Deposit,Savings Account,Firm C,South,Manager 3,08-06-2024,60974.4831,58324.09021,0.529987638,823,124
52,CUST1189,ACC94203,Current,Deposit,Personal Loan,Firm B,East,Manager 1,20-01-2024,44471.93838,58507.88938,0.63048751,581,174
44,CUST1121,ACC61926,Savings,Transfer,Personal Loan,Firm D,South,Manager 3,17-04-2023,48699.56288,42758.7644,0.288170788,363,116
55,CUST9962,ACC30787,Credit,Deposit,Personal Loan,Firm E,Central,Manager 2,29-01-2024,78649.1686,60225.02599,0.364121516,631,26
18,CUST2942,ACC51593,Current,Transfer,Savings Account,Firm D,West,Manager 4,05-02-2023,54339.92758,106552.667,0.498976708,757,64
41,CUST1644,ACC39544,Savings,Deposit,Mutual Fund,Firm D,South,Manager 2,30-09-2023,87591.99055,67994.25217,0.506776217,528,126
90,CUST5253,ACC30146,Savings,Transfer,Personal Loan,Firm C,West,Manager 3,15-05-2023,46891.00481,119549.8464,0.589104349,740,167
2,CUST9248,ACC83848,Savings,Deposit,Home Loan,Firm D,West,Manager 3,15-04-2024,25086.33851,48900.50705,0.343348011,564,170
108,CUST1569,ACC51971,Credit,Withdrawal,Mutual Fund,Firm D,East,Manager 4,22-03-2024,8286.670056,86227.58218,0.061444539,506,139
133,CUST5500,ACC87006,Credit,Transfer,Personal Loan,Firm B,West,Manager 2,28-05-2024,45650.39477,91506.21894,0.304745151,454,23
57,CUST7173,ACC76597,Savings,Withdrawal,Mutual Fund,Firm A,West,Manager 1,21-06-2024,36815.70123,48372.96654,0.502899882,602,225
96,CUST8091,ACC42467,Loan,Transfer,Personal Loan,Firm C,South,Manager 4,21-10-2023,15062.59519,-30766.90697,0.404255506,375,39
159,CUST7730,ACC11188,Credit,Deposit,Home Loan,Firm A,South,Manager 2,07-11-2023,20835.54635,86796.68031,0.501441808,816,168
154,CUST8028,ACC39529,Credit,Withdrawal,Personal Loan,Firm D,East,Manager 1,08-11-2023,27392.52706,70239.01163,-0.009882328,722,188
38,CUST4258,ACC39500,Loan,Withdrawal,Credit Card,Firm A,South,Manager 1,01-01-2024,75883.42472,90830.34292,0.263983363,750,77
81,CUST7002,ACC54589,Loan,Payment,Home Loan,Firm D,South,Manager 3,26-09-2023,54141.25934,3709.653463,0.13577817,430,207
134,CUST3609,ACC39529,Savings,Transfer,Personal Loan,Firm A,North,Manager 4,16-08-2023,44935.23204,67459.7909,0.20910935,684,141
26,CUST1776,ACC45951,Loan,Deposit,Home Loan,Firm E,North,Manager 3,20-10-2023,20859.34944,85726.37874,0.510762222,743,64
113,CUST3725,ACC76597,Current,Payment,Credit Card,Firm C,South,Manager 1,22-10-2023,49561.19622,89209.14214,0.373242038,434,65
168,CUST5912,ACC57700,Credit,Deposit,Personal Loan,Firm C,West,Manager 2,15-05-2023,62786.44705,54379.98512,0.50897335,837,27
149,CUST1223,ACC30852,Savings,Withdrawal,Home Loan,Firm C,Central,Manager 4,02-05-2024,86652.65236,46609.71693,0.766669835,566,78
185,CUST3449,ACC54589,Credit,Payment,Savings Account,Firm C,East,Manager 1,19-06-2023,61539.25423,63343.57402,0.381344515,577,239
45,CUST8416,ACC32890,Savings,Payment,Personal Loan,Firm C,North,Manager 3,06-02-2024,52503.84767,102540.9762,0.192755688,320,191
38,CUST2443,ACC26026,Credit,Transfer,Savings Account,Firm B,West,Manager 3,12-01-2024,39410.84318,128196.6122,0.832725536,775,39
185,CUST5428,ACC41829,Loan,Transfer,Home Loan,Firm D,West,Manager 3,08-01-2023,23800.71917,-2531.437176,0.31321369,765,101
34,CUST3810,ACC10996,Current,Deposit,Credit Card,Firm D,West,Manager 2,19-10-2023,41107.21609,72528.87137,0.34369675,388,199
32,CUST4780,ACC67701,Savings,Withdrawal,Mutual Fund,Firm B,East,Manager 1,23-10-2023,55831.22908,57603.74849,0.268068771,520,144
166,CUST1498,ACC47099,Loan,Deposit,Savings Account,Firm C,West,Manager 1,28-09-2023,67941.17862,76599.69608,0.412982754,732,59
121,CUST2427,ACC46953,Savings,Payment,Credit Card,Firm E,West,Manager 2,25-12-2023,6872.244576,42748.66956,0.349438295,512,203
161,CUST6038,ACC19178,Loan,Transfer,Savings Account,Firm E,West,Manager 1,12-01-2023,51266.18337,93599.16526,0.267563802,606,72
189,CUST1498,ACC83005,Savings,Transfer,Personal Loan,Firm A,West,Manager 2,04-01-2024,23686.73153,109909.1647,0.497847497,807,26
119,CUST4780,ACC26956,Loan,Transfer,Home Loan,Firm A,East,Manager 1,04-10-2023,87552.72594,84231.86476,0.200077195,698,213
24,CUST2699,ACC22036,Loan,Deposit,Personal Loan,Firm B,North,Manager 2,04-08-2023,618.7942733,87953.81035,0.455590989,419,86
184,CUST2842,ACC49364,Savings,Transfer,Credit Card,Firm C,East,Manager 2,26-04-2023,96693.38402,59473.93666,0.831431269,691,145
49,CUST2915,ACC25811,Current,Payment,Credit Card,Firm D,South,Manager 1,24-05-2024,44397.6266,81856.57309,0.767041298,552,183
178,CUST6319,ACC13357,Savings,Deposit,Credit Card,Firm E,East,Manager 4,26-09-2023,28451.59507,109567.4326,0.266357832,383,40
98,CUST1498,ACC60432,Current,Transfer,Home Loan,Firm B,Central,Manager 3,09-02-2024,7497.952844,56881.25367,0.461536677,691,212
129,CUST8028,ACC45521,Current,Withdrawal,Home Loan,Firm B,North,Manager 1,02-05-2024,89912.07264,16875.76442,0.485902204,544,141
119,CUST9528,ACC92360,Credit,Deposit,Home Loan,Firm D,Central,Manager 2,06-08-2023,90914.39985,116651.5718,0.380632237,700,232
193,CUST2942,ACC89098,Loan,Transfer,Savings Account,Firm D,West,Manager 3,08-02-2024,27471.75076,67134.74858,0.535487594,512,225
189,CUST8155,ACC62809,Credit,Payment,Personal Loan,Firm D,East,Manager 2,06-01-2023,53171.39347,67890.35133,0.86986878,613,68
195,CUST6776,ACC45907,Savings,Deposit,Mutual Fund,Firm C,Central,Manager 2,06-11-2023,48022.19413,9234.352543,0.324585385,568,173
179,CUST6210,ACC19178,Credit,Deposit,Savings Account,Firm C,South,Manager 2,12-03-2024,76992.3444,87286.42697,0.306826218,703,7
104,CUST3609,ACC24508,Current,Transfer,Mutual Fund,Firm A,West,Manager 2,28-01-2023,53310.18614,66548.34861,0.570334145,344,37
158,CUST2412,ACC58667,Current,Withdrawal,Home Loan,Firm A,West,Manager 4,11-04-2023,55090.2471,48248.00244,0.135276105,704,169
192,CUST5320,ACC86784,Current,Deposit,Credit Card,Firm B,East,Manager 3,03-04-2023,40509.31939,76620.60283,0.576721184,367,159
37,CUST2842,ACC77638,Credit,Payment,Home Loan,Firm E,North,Manager 4,19-06-2023,21552.75673,103817.6748,0.3241043,522,185
188,CUST7120,ACC24070,Loan,Withdrawal,Home Loan,Firm D,East,Manager 1,08-03-2023,61005.97354,64869.2916,0.401542805,523,88
122,CUST6350,ACC32890,Credit,Transfer,Credit Card,Firm B,West,Manager 2,30-04-2023,119904.5257,97507.84045,0.876223626,693,149
180,CUST5610,ACC12334,Current,Transfer,Savings Account,Firm D,North,Manager 4,08-11-2023,89497.15498,26125.58629,0.255658213,597,138
64,CUST5610,ACC97411,Loan,Deposit,Credit Card,Firm C,Central,Manager 2,25-04-2024,95804.73607,82355.32469,0.458424686,637,67
198,CUST8028,ACC99409,Savings,Withdrawal,Credit Card,Firm B,West,Manager 4,31-10-2023,31316.76955,32812.65842,0.943829891,541,42
66,CUST5609,ACC28295,Credit,Payment,Savings Account,Firm D,North,Manager 2,17-08-2023,49460.78394,87852.82342,0.672642122,337,61
